DATAFLOW,LAST UPDATE,freq,siec,plant_tec,operator,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_INF_EPC$DEFAULTVIEW(1.0),08/04/26 23:00:00,Annual,Total,Net maximum electrical capacity,Autoproducers,Megawatt,Albania,2015,0.000,,
ESTAT:NRG_INF_EPC$DEFAULTVIEW(1.0),08/04/26 23:00:00,Annual,Total,Net maximum electrical capacity,Autoproducers,Megawatt,Albania,2016,0.000,,
ESTAT:NRG_INF_EPC$DEFAULTVIEW(1.0),08/04/26 23:00:00,Annual,Total,Net maximum electrical capacity,Autoproducers,Megawatt,Albania,2017,0.000,,
ESTAT:NRG_INF_EPC$DEFAULTVIEW(1.0),08/04/26 23:00:00,Annual,Total,Net maximum electrical capacity,Autoproducers,Megawatt,Albania,2018,0.000,,
ESTAT:NRG_INF_EPC$DEFAULTVIEW(1.0),08/04/26 23:00:00,Annual,Total,Net maximum electrical capacity,Autoproducers,Megawatt,Albania,2019,0.000,,
ESTAT:NRG_INF_EPC$DEFAULTVIEW(1.0),08/04/26 23:00:00,Annual,Total,Net maximum electrical capacity,Autoproducers,Megawatt,Albania,2020,0.000,,
ESTAT:NRG_INF_EPC$DEFAULTVIEW(1.0),08/04/26 23:00:00,Annual,Total,Net maximum electrical capacity,Autoproducers,Megawatt,Albania,2021,0.000,,
ESTAT:NRG_INF_EPC$DEFAULTVIEW(1.0),08/04/26 23:00:00,Annual,Total,Net maximum electrical capacity,Autoproducers,Megawatt,Albania,2022,0.000,,
ESTAT:NRG_INF_EPC$DEFAULTVIEW(1.0),08/04/26 23:00:00,Annual,Total,Net maximum electrical capacity,Autoproducers,Megawatt,Albania,2023,0.000,,
ESTAT:NRG_INF_EPC$DEFAULTVIEW(1.0),08/04/26 23:00:00,Annual,Total,Net maximum electrical capacity,Autoproducers,Megawatt,Albania,2024,270.570,,
ESTAT:NRG_INF_EPC$DEFAULTVIEW(1.0),08/04/26 23:00:00,Annual,Total,Net maximum electrical capacity,Autoproducers,Megawatt,Austria,2015,2237.746,,
ESTAT:NRG_INF_EPC$DEFAULTVIEW(1.0),08/04/26 23:00:00,Annual,Total,Net maximum electrical capacity,Autoproducers,Megawatt,Austria,2016,2257.716,,
ESTAT:NRG_INF_EPC$DEFAULTVIEW(1.0),08/04/26 23:00:00,Annual,Total,Net maximum electrical capacity,Autoproducers,Megawatt,Austria,2017,1772.974,,
