DATAFLOW,LAST UPDATE,freq,waste,wst_oper,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ENV_WASELEE$DEFAULTVIEW(1.0),01/03/22 11:00:00,Annual,Total waste,Waste collected from households,Kilograms per capita,Austria,2009,8.96,,
ESTAT:ENV_WASELEE$DEFAULTVIEW(1.0),01/03/22 11:00:00,Annual,Total waste,Waste collected from households,Kilograms per capita,Austria,2010,8.72,,
ESTAT:ENV_WASELEE$DEFAULTVIEW(1.0),01/03/22 11:00:00,Annual,Total waste,Waste collected from households,Kilograms per capita,Austria,2011,8.91,,
ESTAT:ENV_WASELEE$DEFAULTVIEW(1.0),01/03/22 11:00:00,Annual,Total waste,Waste collected from households,Kilograms per capita,Austria,2012,9.09,,
ESTAT:ENV_WASELEE$DEFAULTVIEW(1.0),01/03/22 11:00:00,Annual,Total waste,Waste collected from households,Kilograms per capita,Austria,2013,8.96,,
ESTAT:ENV_WASELEE$DEFAULTVIEW(1.0),01/03/22 11:00:00,Annual,Total waste,Waste collected from households,Kilograms per capita,Austria,2014,8.98,,
ESTAT:ENV_WASELEE$DEFAULTVIEW(1.0),01/03/22 11:00:00,Annual,Total waste,Waste collected from households,Kilograms per capita,Austria,2015,9.13,,
ESTAT:ENV_WASELEE$DEFAULTVIEW(1.0),01/03/22 11:00:00,Annual,Total waste,Waste collected from households,Kilograms per capita,Austria,2016,9.51,,
ESTAT:ENV_WASELEE$DEFAULTVIEW(1.0),01/03/22 11:00:00,Annual,Total waste,Waste collected from households,Kilograms per capita,Austria,2017,12.9,,
ESTAT:ENV_WASELEE$DEFAULTVIEW(1.0),01/03/22 11:00:00,Annual,Total waste,Waste collected from households,Kilograms per capita,Austria,2018,13,,
ESTAT:ENV_WASELEE$DEFAULTVIEW(1.0),01/03/22 11:00:00,Annual,Total waste,Waste collected from households,Kilograms per capita,Belgium,2009,9.15,,
ESTAT:ENV_WASELEE$DEFAULTVIEW(1.0),01/03/22 11:00:00,Annual,Total waste,Waste collected from households,Kilograms per capita,Belgium,2010,9.34,,
ESTAT:ENV_WASELEE$DEFAULTVIEW(1.0),01/03/22 11:00:00,Annual,Total waste,Waste collected from households,Kilograms per capita,Belgium,2011,10,,
ESTAT:ENV_WASELEE$DEFAULTVIEW(1.0),01/03/22 11:00:00,Annual,Total waste,Waste collected from households,Kilograms per capita,Belgium,2012,10.08,,
ESTAT:ENV_WASELEE$DEFAULTVIEW(1.0),01/03/22 11:00:00,Annual,Total waste,Waste collected from households,Kilograms per capita,Belgium,2013,10.36,,
ESTAT:ENV_WASELEE$DEFAULTVIEW(1.0),01/03/22 11:00:00,Annual,Total waste,Waste collected from households,Kilograms per capita,Belgium,2014,9.92,,
ESTAT:ENV_WASELEE$DEFAULTVIEW(1.0),01/03/22 11:00:00,Annual,Total waste,Waste collected from households,Kilograms per capita,Belgium,2015,9.67,,
ESTAT:ENV_WASELEE$DEFAULTVIEW(1.0),01/03/22 11:00:00,Annual,Total waste,Waste collected from households,Kilograms per capita,Belgium,2016,10.69,,
ESTAT:ENV_WASELEE$DEFAULTVIEW(1.0),01/03/22 11:00:00,Annual,Total waste,Waste collected from households,Kilograms per capita,Belgium,2017,9.77,,
ESTAT:ENV_WASELEE$DEFAULTVIEW(1.0),01/03/22 11:00:00,Annual,Total waste,Waste collected from households,Kilograms per capita,Belgium,2018,10.77,,
ESTAT:ENV_WASELEE$DEFAULTVIEW(1.0),01/03/22 11:00:00,Annual,Total waste,Waste collected from households,Kilograms per capita,Bulgaria,2009,4.45,,
ESTAT:ENV_WASELEE$DEFAULTVIEW(1.0),01/03/22 11:00:00,Annual,Total waste,Waste collected from households,Kilograms per capita,Bulgaria,2010,6.05,,
ESTAT:ENV_WASELEE$DEFAULTVIEW(1.0),01/03/22 11:00:00,Annual,Total waste,Waste collected from households,Kilograms per capita,Bulgaria,2011,5.28,,
ESTAT:ENV_WASELEE$DEFAULTVIEW(1.0),01/03/22 11:00:00,Annual,Total waste,Waste collected from households,Kilograms per capita,Bulgaria,2012,5.16,,
ESTAT:ENV_WASELEE$DEFAULTVIEW(1.0),01/03/22 11:00:00,Annual,Total waste,Waste collected from households,Kilograms per capita,Bulgaria,2013,4.67,,
ESTAT:ENV_WASELEE$DEFAULTVIEW(1.0),01/03/22 11:00:00,Annual,Total waste,Waste collected from households,Kilograms per capita,Bulgaria,2014,5.73,,
ESTAT:ENV_WASELEE$DEFAULTVIEW(1.0),01/03/22 11:00:00,Annual,Total waste,Waste collected from households,Kilograms per capita,Bulgaria,2015,8.19,,
ESTAT:ENV_WASELEE$DEFAULTVIEW(1.0),01/03/22 11:00:00,Annual,Total waste,Waste collected from households,Kilograms per capita,Bulgaria,2016,7.89,,
ESTAT:ENV_WASELEE$DEFAULTVIEW(1.0),01/03/22 11:00:00,Annual,Total waste,Waste collected from households,Kilograms per capita,Bulgaria,2017,6.68,,
ESTAT:ENV_WASELEE$DEFAULTVIEW(1.0),01/03/22 11:00:00,Annual,Total waste,Waste collected from households,Kilograms per capita,Bulgaria,2018,3.22,,
ESTAT:ENV_WASELEE$DEFAULTVIEW(1.0),01/03/22 11:00:00,Annual,Total waste,Waste collected from households,Kilograms per capita,Cyprus,2009,2.82,,
ESTAT:ENV_WASELEE$DEFAULTVIEW(1.0),01/03/22 11:00:00,Annual,Total waste,Waste collected from households,Kilograms per capita,Cyprus,2010,3.11,,
ESTAT:ENV_WASELEE$DEFAULTVIEW(1.0),01/03/22 11:00:00,Annual,Total waste,Waste collected from households,Kilograms per capita,Cyprus,2011,3.13,,
ESTAT:ENV_WASELEE$DEFAULTVIEW(1.0),01/03/22 11:00:00,Annual,Total waste,Waste collected from households,Kilograms per capita,Cyprus,2012,2.82,,
ESTAT:ENV_WASELEE$DEFAULTVIEW(1.0),01/03/22 11:00:00,Annual,Total waste,Waste collected from households,Kilograms per capita,Cyprus,2013,2.6,,
ESTAT:ENV_WASELEE$DEFAULTVIEW(1.0),01/03/22 11:00:00,Annual,Total waste,Waste collected from households,Kilograms per capita,Cyprus,2014,2.61,,
ESTAT:ENV_WASELEE$DEFAULTVIEW(1.0),01/03/22 11:00:00,Annual,Total waste,Waste collected from households,Kilograms per capita,Cyprus,2015,3.46,,
ESTAT:ENV_WASELEE$DEFAULTVIEW(1.0),01/03/22 11:00:00,Annual,Total waste,Waste collected from households,Kilograms per capita,Cyprus,2016,2.96,,
ESTAT:ENV_WASELEE$DEFAULTVIEW(1.0),01/03/22 11:00:00,Annual,Total waste,Waste collected from households,Kilograms per capita,Cyprus,2017,5.27,,
ESTAT:ENV_WASELEE$DEFAULTVIEW(1.0),01/03/22 11:00:00,Annual,Total waste,Waste collected from households,Kilograms per capita,Cyprus,2018,2.92,,
ESTAT:ENV_WASELEE$DEFAULTVIEW(1.0),01/03/22 11:00:00,Annual,Total waste,Waste collected from households,Kilograms per capita,Czechia,2009,5.42,,
ESTAT:ENV_WASELEE$DEFAULTVIEW(1.0),01/03/22 11:00:00,Annual,Total waste,Waste collected from households,Kilograms per capita,Czechia,2010,4.98,,
ESTAT:ENV_WASELEE$DEFAULTVIEW(1.0),01/03/22 11:00:00,Annual,Total waste,Waste collected from households,Kilograms per capita,Czechia,2011,5.22,,
ESTAT:ENV_WASELEE$DEFAULTVIEW(1.0),01/03/22 11:00:00,Annual,Total waste,Waste collected from households,Kilograms per capita,Czechia,2012,4.94,,
ESTAT:ENV_WASELEE$DEFAULTVIEW(1.0),01/03/22 11:00:00,Annual,Total waste,Waste collected from households,Kilograms per capita,Czechia,2013,4.78,,
ESTAT:ENV_WASELEE$DEFAULTVIEW(1.0),01/03/22 11:00:00,Annual,Total waste,Waste collected from households,Kilograms per capita,Czechia,2014,5.23,,
ESTAT:ENV_WASELEE$DEFAULTVIEW(1.0),01/03/22 11:00:00,Annual,Total waste,Waste collected from households,Kilograms per capita,Czechia,2015,6.77,,
ESTAT:ENV_WASELEE$DEFAULTVIEW(1.0),01/03/22 11:00:00,Annual,Total waste,Waste collected from households,Kilograms per capita,Czechia,2016,9.49,,
ESTAT:ENV_WASELEE$DEFAULTVIEW(1.0),01/03/22 11:00:00,Annual,Total waste,Waste collected from households,Kilograms per capita,Czechia,2017,9.06,,
ESTAT:ENV_WASELEE$DEFAULTVIEW(1.0),01/03/22 11:00:00,Annual,Total waste,Waste collected from households,Kilograms per capita,Czechia,2018,7.82,,
ESTAT:ENV_WASELEE$DEFAULTVIEW(1.0),01/03/22 11:00:00,Annual,Total waste,Waste collected from households,Kilograms per capita,Germany,2009,9.44,,
