"DATASET","SERIES_CODE","OBS_MEASURE","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.STA:ESG_FINANCE(2.0.3)","MEX.SSSBI_USD.A","OBS_VALUE","","","","","","","","","","","0.784346534","1.307244224","6.684615339","4.068286579","5.718873317"
"IMF.STA:ESG_FINANCE(2.0.3)","MUS.SBI_USD.A","OBS_VALUE","","","","","","","","","","0.34","","","0.3","","0.6"
"IMF.STA:ESG_FINANCE(2.0.3)","BEL.SGBIC_USD.A","OBS_VALUE","","","","","","","","","12.39267525","","","","8.162432938","",""
"IMF.STA:ESG_FINANCE(2.0.3)","LIE.GBI_USD.A","OBS_VALUE","","","","","","","","","","0.111395789","0.111395789","0.627477227","","",""
"IMF.STA:ESG_FINANCE(2.0.3)","KEN.GBI_USD.A","OBS_VALUE","","","","","","","","","","0.00609775","","","","",""
"IMF.STA:ESG_FINANCE(2.0.3)","BEN.SBI_USD.A","OBS_VALUE","","","","","","","","","","","0.638880438","","0.375239168","",""
"IMF.STA:ESG_FINANCE(2.0.3)","USA.SUBI_USD.A","OBS_VALUE","","","","","","0.1","0.682742502","8.637728704","24.89513643","39.74981325","111.0237522","90.22548577","58.964819","61.11973321","76.49532903"
"IMF.STA:ESG_FINANCE(2.0.3)","CIV.SSSBI_USD.A","OBS_VALUE","","","","","","","","","","","","","","","2.2"
"IMF.STA:ESG_FINANCE(2.0.3)","IND.SUBI_USD.A","OBS_VALUE","","","","","","","","","","","","1.2","","2","0.75"
"IMF.STA:ESG_FINANCE(2.0.3)","MNG.SBI_USD.A","OBS_VALUE","","","","","","","","","","","","","","","0.01"
"IMF.STA:ESG_FINANCE(2.0.3)","PHL.SULBI_USD.A","OBS_VALUE","","","","","","","","","","0.112316837","","","","","0.962468896"
"IMF.STA:ESG_FINANCE(2.0.3)","CHN.SBI_USD.A","OBS_VALUE","","","","","","","","","0.413964967","0.412671161","2.72984708","1.554609498","0.179277073","0.550881726","1.05516372"
"IMF.STA:ESG_FINANCE(2.0.3)","NAM.SUBI_USD.A","OBS_VALUE","","","","","","","","","","","","0.012325234","","",""
"IMF.STA:ESG_FINANCE(2.0.3)","NLD.SBI_USD.A","OBS_VALUE","","","","","","0.683081644","1.032695127","4.042278945","2.511270929","4.110408619","7.313132745","6.996371088","6.392673096","11.53014614","14.47910048"
"IMF.STA:ESG_FINANCE(2.0.3)","ISL.SSBI_USD.A","OBS_VALUE","","","","","","","","","","","","","","","0.052289768"
"IMF.STA:ESG_FINANCE(2.0.3)","CHN.GBI_USD.A","OBS_VALUE","","","","","0.138077682","0.982380239","28.21484995","28.83239965","28.64422309","39.95564925","27.03166019","70.69810323","95.97929533","85.89542669","64.71953397"
"IMF.STA:ESG_FINANCE(2.0.3)","CHN.SULBI_USD.A","OBS_VALUE","","","","","","","","","","","","4.667167851","7.254569381","3.696892832","4.633383193"
"IMF.STA:ESG_FINANCE(2.0.3)","ESP.SUBI_USD.A","OBS_VALUE","","","","","","","0.524548887","0.87601976","2.340490057","1.987011219","3.388377026","4.91523828","3.268110558","3.451124749","3.733804925"
"IMF.STA:ESG_FINANCE(2.0.3)","POL.SBI_USD.A","OBS_VALUE","","","","","","","","","","","","0.922897689","","",""
"IMF.STA:ESG_FINANCE(2.0.3)","NLD.SUBI_USD.A","OBS_VALUE","","","","0.524548887","","0.680448006","1.615648335","2.270129637","1.832121534","1.702956427","3.373704698","4.919089298","4.712800994","0.261448844","1.045795379"
"IMF.STA:ESG_FINANCE(2.0.3)","MNG.GBI_USD.A","OBS_VALUE","","","","","","","","","","","","","","","0.04"
"IMF.STA:ESG_FINANCE(2.0.3)","UZB.GBI_USD.A","OBS_VALUE","","","","","","","","","","","","","","0.659937888","0.908292532"
"IMF.STA:ESG_FINANCE(2.0.3)","LUX.SUBI_USD.A","OBS_VALUE","","","","","","","","0.025","1.934721452","0.205801741","6.302639988","7.967628283","5.633568625","1.948852243","2.468033229"
"IMF.STA:ESG_FINANCE(2.0.3)","COL.GBI_USD.A","OBS_VALUE","","","","","","","","0.046053767","0.11396548","","0.15672068","3.638470491","0.049004492","",""
"IMF.STA:ESG_FINANCE(2.0.3)","PHL.SBI_USD.A","OBS_VALUE","","","","","","","","0.074620011","0.042194092","0.047044654","9.056440701","2.081887291","5.00570951","3.996948789","1.709298849"
"IMF.STA:ESG_FINANCE(2.0.3)","KOR.SUBI_USD.A","OBS_VALUE","","","","","","","","","1.631712084","11.41863035","7.246399919","19.04177591","11.48979126","5.862059407","5.794979806"
"IMF.STA:ESG_FINANCE(2.0.3)","ESP.SULBI_USD.A","OBS_VALUE","","","","","","","","","","","0.018824316","0.051015968","","0.627477227",""
"IMF.STA:ESG_FINANCE(2.0.3)","MAC.GBI_USD.A","OBS_VALUE","","","","","","","","","","1.080729826","0.483691533","1.03597691","1","",""
"IMF.STA:ESG_FINANCE(2.0.3)","FIN.GBI_USD.A","OBS_VALUE","0.241508848","0.094151986","0.047044654","0.228554026","0.55443584","0.827971093","3.024749905","2.237908931","0.65898729","3.60786826","2.995009498","4.990887419","6.419266302","8.621063921","8.513847406"
"IMF.STA:ESG_FINANCE(2.0.3)","IDN.SBI_USD.A","OBS_VALUE","","","","","","","","","","","","","","0.042879019","0.653420077"
"IMF.STA:ESG_FINANCE(2.0.3)","MHL.SULBI_USD.A","OBS_VALUE","","","","","","","","","","","","0.5","","",""
"IMF.STA:ESG_FINANCE(2.0.3)","VEN.GBI_USD.A","OBS_VALUE","","","","","","","","","0.112098448","0.784346534","0.389885262","","0.389885262","0.250560467",""
"IMF.STA:ESG_FINANCE(2.0.3)","FRA.SUBI_USD.A","OBS_VALUE","","","","","0.627477227","0.522897689","0.679766996","0.90755221","0.732056764","1.585074647","3.974022439","8.982957871","11.12109167","10.0821888","6.009762028"
"IMF.STA:ESG_FINANCE(2.0.3)","PER.SSSBI_USD.A","OBS_VALUE","","","","","","","","","","","","3.25","","10.93237015",""
"IMF.STA:ESG_FINANCE(2.0.3)","POL.SUBI_USD.A","OBS_VALUE","","","","","","","","","","","","0.189174191","","0.479241285",""
"IMF.STA:ESG_FINANCE(2.0.3)","LVA.SUBI_USD.A","OBS_VALUE","","","","","","","","","","","","0.627477227","","",""
"IMF.STA:ESG_FINANCE(2.0.3)","BEL.SUBI_USD.A","OBS_VALUE","","","","","","","0.057750057","","0.522897689","2.300749833","2.426245279","1.969155252","1.830141913","1.568693069","1.699417491"
"IMF.STA:ESG_FINANCE(2.0.3)","BEN.SSSBI_USD.A","OBS_VALUE","","","","","","","","","","","","1.045795378","","",""
"IMF.STA:ESG_FINANCE(2.0.3)","MEX.SUBI_USD.A","OBS_VALUE","","","","","","","","0.610978755","0.125428711","0.270103094","0.80394477","6.528340234","12.93008505","8.416138738","10.75391853"
"IMF.STA:ESG_FINANCE(2.0.3)","CHL.SSLBI_USD.A","OBS_VALUE","","","","","","","","","","","","","2","8.84273558",""
"IMF.STA:ESG_FINANCE(2.0.3)","PHL.GBI_USD.A","OBS_VALUE","0.769075804","","0.014366736","0.058941038","","0.502338831","1.3","1.499270573","1.943137475","3.590743005","0.533912415","1.873705376","0.231502334","0.144495003","2.790655644"
"IMF.STA:ESG_FINANCE(2.0.3)","ESP.GBI_USD.A","OBS_VALUE","","","","","1.15427155","","3.487379557","6.181060486","4.020036281","7.230203609","9.647151136","29.72903122","13.25599792","11.80082065","12.64332435"
"IMF.STA:ESG_FINANCE(2.0.3)","JEY.SULBI_USD.A","OBS_VALUE","","","","","","","","","","","","","","0.679766996","1.471464834"
"IMF.STA:ESG_FINANCE(2.0.3)","LUX.SULBI_USD.A","OBS_VALUE","","","","","","","","","","","2.823647524","15.48563929","3.826022071","2.384346534","0.3"
"IMF.STA:ESG_FINANCE(2.0.3)","LUX.SBI_USD.A","OBS_VALUE","","","","","","","","","","0.182549512","1.148625243","0.030458908","0.078215937","0.001911001",""
"IMF.STA:ESG_FINANCE(2.0.3)","URY.SSLBI_USD.A","OBS_VALUE","","","","","","","","","","","","","2.199975998","",""
"IMF.STA:ESG_FINANCE(2.0.3)","MUS.SUBI_USD.A","OBS_VALUE","","","","","","","","","","","","","","0.176",""
"IMF.STA:ESG_FINANCE(2.0.3)","NGA.GBI_USD.A","OBS_VALUE","","","","","","","","0.007088671","","0.018944918","0.167093683","0.000598483","0.05","",""
"IMF.STA:ESG_FINANCE(2.0.3)","BEL.SBI_USD.A","OBS_VALUE","","","","","","","","","","","47.58368977","48.90831951","10.76442557","4.166982765","2.363497556"
