"Economy","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Afghanistan","0","0","0","0","0","0","0","0","0","0","0","0","25000","200000","600000","1.2e+006","2.52037e+006","4.6681e+006","7.89891e+006","1.05e+007","1.02158e+007","1.37979e+007","1.53401e+007","1.68072e+007","1.84072e+007","1.9709e+007","2.1603e+007","2.39297e+007","2.19764e+007","2.25801e+007","2.2678e+007","2.2678e+007","2.28319e+007","2.30271e+007","2.56308e+007","-"
"Albania","0","0","0","0","0","0","2300","3300","5600","11008","29791","392650","851000","1.1e+006","1.25959e+006","1.53024e+006","1.90989e+006","2.32244e+006","1.85963e+006","2.46374e+006","2.69237e+006","3.1e+006","3.5e+006","3.68598e+006","3.35965e+006","3.40096e+006","3.36976e+006","3.6257e+006","2.71488e+006","2.63008e+006","2.61888e+006","2.63547e+006","2.78223e+006","2.61476e+006","2.48838e+006","-"
"Algeria","470","4781","4781","4781","1348","4691","11700","17400","18000","72000","86000","100000","450244","1.44693e+006","4.88241e+006","1.36614e+007","2.0998e+007","2.75627e+007","2.70315e+007","3.27298e+007","3.27802e+007","3.56159e+007","3.75277e+007","3.9517e+007","4.32982e+007","4.32276e+007","4.70413e+007","4.58457e+007","4.71543e+007","4.54255e+007","4.55557e+007","4.70158e+007","4.90188e+007","5.15221e+007","5.40505e+007","-"
"American Samoa","0","0","700","900","1200","1250","1300","1400","1500","1800","1992","2156","2036","2100","2250","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Andorra","0","0","770","780","784","2825","5488","8618","14117","20600","23543","29429","32790","51893","58366","64560","69004","63503","64202","64549","65495","65044","63865","63931","66241","71336","76132","80337","82614","87909","80380","93792","113521","126214","127571","-"
"Angola","0","0","0","1100","1824","1994","3298","7052","9820","24000","25806","75000","140000","350000","740000","1.61112e+006","3.05462e+006","4.96154e+006","6.77336e+006","8.10942e+006","9.40337e+006","1.20732e+007","1.27851e+007","1.32852e+007","1.40526e+007","1.38845e+007","1.30011e+007","1.3324e+007","1.32884e+007","1.48302e+007","1.46451e+007","1.53279e+007","2.37332e+007","2.5744e+007","2.64079e+007","-"
"Anguilla","0","0","0","0","0","160","359","707","787","1475","2163","1773","3042","4427","7229","13061","17150","23526","26484","24820","25695","26019","26100","26000","26000","26000","-","-","-","26000","26000","26000","25870","-","-","-"
"Antigua and Barbuda","0","-","-","-","-","-","1300","1400","1500","8500","22000","25000","38205","46100","54000","86000","110177","112381","136592","134925","167970","176008","127381","114358","120041","176000","180000","184000","-","184000","184000","184000","186182","-","-","-"
"Argentina","12000","25000","46590","112000","241163","405395","667020","2.00907e+006","2.67086e+006","3.84887e+006","6.48795e+006","6.74179e+006","6.56674e+006","7.84223e+006","1.35124e+007","2.21564e+007","3.15104e+007","4.04018e+007","4.65088e+007","5.24828e+007","5.70823e+007","6.07227e+007","6.43276e+007","6.73615e+007","6.12342e+007","6.1842e+007","6.37198e+007","6.18974e+007","5.8598e+007","5.63529e+007","5.47639e+007","5.90658e+007","5.97039e+007","6.27092e+007","6.4082e+007","-"
"Armenia","0","0","0","0","0","0","300","5000","7831","8161","17486","25504","71349","114379","203309","318044","1.25976e+006","1.87641e+006","1.442e+006","2.1915e+006","3.86535e+006","3.21122e+006","3.32284e+006","3.34628e+006","3.45914e+006","3.46449e+006","3.43457e+006","3.48852e+006","3.57926e+006","3.61875e+006","3.4888e+006","3.59928e+006","3.7607e+006","3.95945e+006","4.01132e+006","-"
"Aruba","0","0","20","-","-","1718","3000","3402","5380","12000","15000","53000","61800","69952","98389","103417","109030","113586","120806","128000","131800","-","135000","138800","139700","141000","-","-","-","141000","141000","141000","140815","-","-","-"
"Ascension","0","0","0","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","-","0","298","519","1000","-","-","-","-","-","-","-","-"
"Australia","184943","291459","497000","690000","1.22e+006","2.242e+006","3.99e+006","4.578e+006","4.918e+006","6.315e+006","8.562e+006","1.1132e+007","1.267e+007","1.4347e+007","1.648e+007","1.842e+007","1.976e+007","2.126e+007","2.212e+007","2.22e+007","2.25e+007","2.3789e+007","2.4338e+007","2.494e+007","2.506e+007","2.577e+007","2.6551e+007","2.666e+007","2.764e+007","2.7968e+007","2.7013e+007","2.7285e+007","2.8682e+007","2.9761e+007","3.0074e+007","-"
"Austria","73698","115402","172453","220859","278199","383535","598708","1.1597e+006","2.2929e+006","4.25039e+006","6.117e+006","6.541e+006","6.736e+006","7.274e+006","7.992e+006","8.665e+006","9.281e+006","9.912e+006","1.0816e+007","1.1434e+007","1.2241e+007","1.30226e+007","1.3588e+007","1.3272e+007","1.29526e+007","1.34706e+007","1.10795e+007","1.0859e+007","1.0984e+007","1.0726e+007","1.07174e+007","1.08822e+007","1.09833e+007","1.1116e+007","1.13517e+007","-"
"Azerbaijan","0","0","0","0","500","6000","17000","40000","65000","370000","420400","730000","794200","1.0571e+006","1.45652e+006","2.242e+006","3.3235e+006","4.519e+006","6.548e+006","7.75712e+006","9.10011e+006","1.01201e+007","1.01252e+007","1.01301e+007","1.05525e+007","1.06971e+007","1.0189e+007","1.0127e+007","1.03397e+007","1.07503e+007","1.03443e+007","1.08171e+007","1.10681e+007","1.11113e+007","1.1323e+007","-"
"Bahamas","1922","2020","2600","2401","-","4100","4948","6200","8072","15911","31524","60555","121759","122228","186007","227771","252987","373999","358050","358812","428377","298790","300000","287000","314842","311175","360200","353540","388707","425507","466000","397393","403993","399630","387960","-"
"Bahrain","5147","7354","9683","11360","17616","27600","40080","58543","92063","133468","205727","299587","388990","443109","649764","767103","907433","1.11598e+006","1.44078e+006","1.40197e+006","1.567e+006","1.69365e+006","2.1239e+006","2.21019e+006","2.32899e+006","2.51906e+006","2.99487e+006","2.36448e+006","2.09271e+006","1.91864e+006","1.77097e+006","1.92344e+006","2.14126e+006","2.41572e+006","2.56382e+006","-"
"Bangladesh","0","0","250","500","1104","2500","4000","26000","75000","149000","279000","520000","1.075e+006","1.365e+006","2.78156e+006","9e+006","1.9131e+007","3.437e+007","4.464e+007","5.13593e+007","6.79239e+007","8.43687e+007","9.718e+007","1.16553e+008","1.26866e+008","1.31376e+008","1.35982e+008","1.50945e+008","1.61772e+008","1.65572e+008","1.76279e+008","1.84445e+008","1.86097e+008","1.9081e+008","1.87581e+008","-"
"Barbados","0","486","796","1560","2967","4614","6283","8013","12000","20309","28467","53111","97193","140000","200138","206190","237119","257596","288662","337061","350061","347917","349296","307708","305456","334792","332208","329565","329326","329326","295000","316633","323482","-","-","-"
