"Economy","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Afghanistan","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","$1.4143e+008","$1.58236e+008","-","$1.17618e+009","-","-","-","$1.65498e+008","$5.09756e+008","$2.10159e+008","$1.02484e+008","-","$2.72826e+008","$8.03444e+007","$1.02668e+008","-","-","$4.02693e+007","-","-","-"
"Albania","$1.99667e+006","$436400","-","-","$972310","$5.13484e+006","$172249","$302155","$1.28859e+006","$733532","$1.83679e+007","$2.21974e+007","$3.21775e+007","$6.441e+007","$6.10741e+007","$5.74045e+007","$5.50644e+007","$6.75234e+007","-","-","$9.53371e+007","$9.99554e+007","$7.47518e+007","$9.14081e+007","$7.34175e+007","$5.42788e+007","$2.31134e+007","$3.85171e+007","$6.09461e+007","$5.84377e+007","$8.88634e+007","$6.9077e+007","$4.77144e+007","$4.56017e+007","$5.63676e+007","-"
"Algeria","$2.16901e+008","$1.2705e+008","$1.73429e+008","$1.48509e+008","$1.08544e+008","$7.74605e+007","$1.28496e+008","$9.86355e+007","$1.46308e+008","$1.14466e+008","-","$9.64709e+007","-","-","-","$1.37209e+009","$8.62408e+008","$8.78119e+008","-","-","-","-","-","-","-","-","$7.94934e+008","$8.27259e+008","$8.46653e+008","$7.80172e+008","$9.72781e+008","$8.52267e+008","$7.65855e+008","$7.54583e+008","$6.92665e+008","-"
"Andorra","-","-","$1.13499e+007","-","-","$7.94707e+006","$5.59757e+006","$4.85623e+006","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Angola","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","$1.57012e+008","-","-","-","-","-","$7.83514e+008","$7.30886e+008","$8.76904e+008","$4.22865e+008","$6.2924e+008","$5.28483e+008","$3.90861e+008","$1.14564e+008","-","$2.3866e+008","$2.50013e+008","-","$4.13926e+008","$1.63135e+008","-"
"Antigua and Barbuda","$2e+006","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Argentina","-","$3.85615e+008","$1.29281e+009","$2.03678e+009","$2.23721e+009","$2.06152e+009","$1.71058e+009","$1.34767e+009","$1.45673e+009","$1.733e+009","$1.904e+009","$8.69e+008","-","-","-","-","-","-","-","-","$1.81352e+009","$2.1172e+009","$2.14462e+009","$1.89284e+009","$2.64149e+009","$2.96626e+009","-","$2.33174e+009","$1.88998e+009","-","-","-","-","-","-","-"
"Armenia","-","-","$1.3363e+006","$1.53677e+006","$1.65598e+006","$1.91397e+006","$3.07072e+007","$2.34084e+007","$2.59227e+007","$2.2424e+007","$2.6284e+007","$1.81415e+007","$2.27418e+007","$2.9577e+007","$3.67532e+007","$3.43226e+007","-","-","-","-","$1.19481e+008","$1.26315e+008","$8.22797e+007","$8.67132e+007","$8.44465e+007","$7.24393e+007","$7.56399e+007","$6.8386e+007","$7.53177e+007","$6.11046e+007","$5.45216e+007","$5.34211e+007","$7.47812e+007","$9.38601e+007","$1.21464e+008","-"
"Aruba","-","-","$2.3743e+007","-","-","-","-","-","-","-","-","-","-","-","-","$1.50838e+007","$1.45251e+007","$2.4581e+007","$2.4581e+007","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Australia","$2.31736e+009","$2.3297e+009","$2.21366e+009","$1.83367e+009","$1.80117e+009","$2.82084e+009","$3.73672e+009","$3.72122e+009","$2.40227e+009","$3.43226e+009","$3.65855e+009","$4.66321e+009","$6.4712e+009","$4.16623e+009","-","$4.44148e+009","-","$5.84818e+009","-","-","$6.16882e+009","$7.50725e+009","$9.19444e+009","$8.09556e+009","$7.98467e+009","$7.02807e+009","$7.64387e+009","$1.05767e+010","$1.02577e+010","$8.95095e+009","$7.97544e+009","$6.4189e+009","$6.07284e+009","$6.47294e+009","-","-"
