"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Total greenhouse gas emissions excluding LULUCF (Mt CO2e)","EN.GHG.ALL.MT.CE.AR5","","","","","","","","","","","0.037","0.0418","0.0527","0.0577","0.057","0.0711","0.0702","0.081","0.0859","0.0899","0.0939","0.0971","0.0962","0.099","0.1136","0.1192","0.1289","0.1438","0.158","0.2132","0.2203","0.2469","0.272","0.2736","0.3091","0.3387","0.2296","0.3687","0.3778","0.3827","0.348","0.3511","0.3765","0.4268","0.4412","0.4783","0.4877","0.5228","0.5153","0.5507","0.5289","0.3409","0.4057","0.4405","0.4699","0.4915","0.5151","0.4967","0.495","0.54","0.5191","0.5383","0.5675","0.5695","0.5887","",
"Africa Eastern and Southern","AFE","Total greenhouse gas emissions excluding LULUCF (Mt CO2e)","EN.GHG.ALL.MT.CE.AR5","","","","","","","","","","","522.9852","524.5512","538.1695","567.1827","580.6692","598.3302","619.6261","630.3096","617.5935","634.9128","654.3526","673.0234","704.2895","715.8287","739.3073","754.2823","762.0429","783.092","799.7781","803.7549","827.9473","814.4028","817.6187","824.4903","850.6253","886.8235","919.445","943.7472","974.0551","973.943","978.2057","999.2239","1021.5196","1057.5296","1111.542","1144.9355","1150.2135","1206.5406","1261.9958","1242.2396","1280.3281","1278.4914","1324.4422","1361.2899","1396.8537","1396.4417","1415.4722","1437.2969","1457.6726","1491.9557","1474.7119","1490.5839","1497.7963","1518.6354","1548.7374","",
"Afghanistan","AFG","Total greenhouse gas emissions excluding LULUCF (Mt CO2e)","EN.GHG.ALL.MT.CE.AR5","","","","","","","","","","","15.3","15.2211","13.2788","13.972","15.242","15.9689","16.1246","16.1878","15.8334","15.7238","15.6485","15.8175","15.812","15.7685","14.6997","14.6195","12.95","12.8185","13.0853","12.6819","12.9316","13.014","12.0658","12.1861","12.2473","12.4635","13.7352","14.7974","15.6478","16.5085","14.3649","12.6284","15.2286","15.8576","15.9933","16.1449","16.3385","17.5116","20.86","23.8625","27.7685","31.8988","29.7593","28.1319","28.3545","28.0931","27.1647","30.4746","31.9358","32.4362","32.4002","32.8358","31.9121","32.4351","33.0348","",
"Africa Western and Central","AFW","Total greenhouse gas emissions excluding LULUCF (Mt CO2e)","EN.GHG.ALL.MT.CE.AR5","","","","","","","","","","","268.0583","284.5373","320.1887","358.5697","398.1957","345.1128","383.4729","376.6065","369.4323","436.1165","415.7289","359.8672","356.4963","353.9843","365.0048","382.9893","380.1702","371.1241","391.3803","425.6969","434.1307","456.9976","483.7933","489.9247","519.2414","560.9791","637.6916","615.5285","601.2266","597.7159","639.288","653.0729","594.851","646.3279","647.4797","650.4263","630.8503","610.0439","624.7748","617.0493","653.8817","684.4787","700.0255","716.0554","740.2353","756.5263","766.9368","777.0404","806.006","838.8348","822.7538","851.1541","860.2701","869.4107","896.0976","",
"Angola","AGO","Total greenhouse gas emissions excluding LULUCF (Mt CO2e)","EN.GHG.ALL.MT.CE.AR5","","","","","","","","","","","18.8344","18.7218","21.3168","22.8788","23.5861","22.4218","18.4644","23.1326","25.308","25.8339","26.308","24.9017","27.2768","28.8516","29.2836","31.6468","32.9495","34.6689","36.4246","37.3091","34.0845","33.3991","32.6614","36.6305","47.4057","54.6253","65.5425","67.282","73.101","73.8377","68.933","67.2114","64.9216","65.3759","70.6393","68.6988","61.2209","59.7285","63.0361","64.5384","71.665","70.5619","72.492","77.0263","78.9976","83.5369","80.6255","75.4336","70.4651","71.2087","63.1592","66.6019","68.0352","68.2808","69.9229","",
"Albania","ALB","Total greenhouse gas emissions excluding LULUCF (Mt CO2e)","EN.GHG.ALL.MT.CE.AR5","","","","","","","","","","","8.2309","8.1826","9.1151","8.5954","8.866","9.0471","9.6587","10.2164","11.2403","12.3966","12.5783","11.6196","12.2644","13.1149","13.4289","12.9918","13.2164","13.5038","13.3992","13.3133","11.4984","9.0526","6.1714","6.2093","6.9073","6.5494","6.2824","5.5292","5.7889","6.9985","7.1977","7.3854","8.0069","8.1952","8.4033","7.9929","8.0377","7.9928","7.7801","7.7632","8.0715","8.5046","8.1772","8.4377","8.9188","8.7633","8.3754","9.1947","9.1911","8.6662","7.9972","8.4963","7.6976","7.2612","7.1243","",
"Andorra","AND","Total greenhouse gas emissions excluding LULUCF (Mt CO2e)","EN.GHG.ALL.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Total greenhouse gas emissions excluding LULUCF (Mt CO2e)","EN.GHG.ALL.MT.CE.AR5","","","","","","","","","","","737.6966","758.8059","789.8345","874.9637","842.3297","848.1734","961.6277","987.1897","1034.5151","1131.1576","1112.4331","981.849","982.1034","997.149","1006.9864","1035.7538","1091.1279","1142.4515","1224.3638","1282.1373","1259.082","1214.3523","1279.4935","1360.4432","1431.6998","1471.0067","1516.2069","1579.1193","1588.8455","1622.8008","1704.49","1751.9805","1777.1595","1855.3013","1933.0449","2035.9553","2114.3515","2161.5089","2280.2786","2329.7477","2438.144","2486.7931","2647.621","2683.5826","2759.8639","2821.1497","2897.3546","2942.8362","2957.9913","2989.9227","2904.0883","3027.3815","3131.147","3200.1842","3267.5948","",
"United Arab Emirates","ARE","Total greenhouse gas emissions excluding LULUCF (Mt CO2e)","EN.GHG.ALL.MT.CE.AR5","","","","","","","","","","","29.7727","35.8184","39.4819","50.6874","52.2127","53.0812","64.3466","65.3928","70.9126","56.386","58.8186","53.928","51.9234","49.7993","63.0117","65.1475","65.1406","68.7301","68.1449","77.1332","79.5037","87.8872","87.4209","94.0529","98.9407","103.9845","109.0839","110.8693","111.9372","114.6886","117.226","129.7435","131.3144","139.4106","146.0518","155.5192","162.325","172.8358","200.3914","201.4993","209.6933","217.382","226.7173","238.5775","242.0497","254.2073","262.1895","254.2672","238.7795","251.8938","249.749","255.3525","255.5927","254.3073","264.1484","",
"Argentina","ARG","Total greenhouse gas emissions excluding LULUCF (Mt CO2e)","EN.GHG.ALL.MT.CE.AR5","","","","","","","","","","","219.2139","222.4566","229.4516","237.3425","237.6578","238.173","246.5947","257.1352","249.8252","255.6799","251.0559","245.2533","242.0253","248.1145","249.3411","240.9373","246.7415","250.8555","259.3266","258.5108","253.0652","256.9099","258.9147","260.7774","266.2993","269.1198","276.3738","281.2857","285.1707","291.7702","288.4453","285.5007","284.5413","305.8995","324.6533","329.3846","342.6815","354.3631","357.0159","333.4521","337.3105","343.8255","351.3252","360.0237","359.8127","366.0408","369.1827","372.6964","372.5105","369.602","354.1583","371.3182","383.5354","377.6745","374.3446","",
